,face_id,frame_id,domain_emotion,angry,disgust,scared,happy,sad,surprised,neutral
340,1,340,neutral,0.047123607248067856,0.0005918113165535033,0.20950423181056976,0.02616947889328003,0.247611403465271,0.011041759513318539,0.45795774459838867
342,1,342,neutral,0.05660541355609894,0.00038023662636987865,0.11015733331441879,0.005300826858729124,0.13780570030212402,0.0033965352922677994,0.6863539218902588
344,1,344,neutral,0.049334775656461716,0.00014326329983305186,0.06638045608997345,0.0035267327912151814,0.111583411693573,0.006597402971237898,0.7624339461326599
346,1,346,neutral,0.0588211715221405,0.004462589975446463,0.2246507704257965,0.005002500955015421,0.26709043979644775,0.019189223647117615,0.42078325152397156
348,1,348,neutral,0.04134198650717735,0.0008306878735311329,0.10419328510761261,0.006604274734854698,0.17318786680698395,0.014929268509149551,0.6589125990867615
350,1,350,neutral,0.02353418432176113,0.00022454863938037306,0.07863407582044601,0.008424916304647923,0.15849319100379944,0.005161821376532316,0.725527286529541
352,1,352,neutral,0.026452697813510895,0.00035271112574264407,0.09717319905757904,0.005083149299025536,0.19081924855709076,0.004322993103414774,0.6757960319519043
354,1,354,neutral,0.04147499054670334,0.00018468761118128896,0.07275913655757904,0.0019215492065995932,0.15804708003997803,0.0016684253932908177,0.7239441275596619
356,1,356,neutral,0.031793415546417236,0.00037696503568440676,0.09763260185718536,0.014718151651322842,0.16906523704528809,0.008369050920009613,0.6780444979667664
358,1,358,neutral,0.063605897128582,0.002492358675226569,0.1465434730052948,0.015606353059411049,0.19827575981616974,0.02621511183679104,0.5472610592842102
360,1,360,neutral,0.07993844896554947,0.0053927102126181126,0.21701772511005402,0.015356863848865032,0.22252538800239563,0.03744462877511978,0.4223242998123169
362,1,362,neutral,0.06417468935251236,0.0020698588341474533,0.1484183967113495,0.017965547740459442,0.24013295769691467,0.023135488852858543,0.5041030645370483
364,1,364,neutral,0.07243615388870239,0.001177608035504818,0.18729735910892487,0.011056412942707539,0.2563116252422333,0.024372337386012077,0.44734853506088257
366,1,366,neutral,0.08768320083618164,0.0014760838821530342,0.1277294158935547,0.005106048192828894,0.28839415311813354,0.006730763241648674,0.4828803539276123
368,1,368,neutral,0.07064016908407211,0.0009348623570986092,0.15220476686954498,0.003972077742218971,0.3192777633666992,0.007350657135248184,0.44561973214149475
370,1,370,neutral,0.018980486318469048,0.00013446490629576147,0.14821988344192505,0.0032221926376223564,0.2731930613517761,0.0018369684694334865,0.5544129014015198
372,1,372,neutral,0.03290373086929321,0.00019376780255697668,0.15358617901802063,0.0036360982339829206,0.24672691524028778,0.0016287323087453842,0.5613245964050293
